ID,SNM,STYP,FND,RGN,USC,SCR_EST_2014,SCR_EST_2015,SCR_EST_2016,SCR_EST_2017,SCR_EST_2018,SCR_EST_2019,SCR_EST_2020,SCR_EST_2021,SCR_EST_2022,SCR_EST_2023,SCR_EST_2024
1,ICT폴리텍대학,전문대학,사립,경기,C그룹,52.690204500951445,52.717514791632894,52.717514791632894,52.52193392273875,67.52675560580747,68.15407140619402,68.16920729508293,68.1950008868936,68.25615424542886,68.25615424542889,68.26182091209553
2,가야대학교,대학,사립,경남,C그룹,52.40305210704844,52.62859076911407,52.51023248081664,52.40398515574016,67.55423904646362,67.97048667551402,67.82755545077772,67.79969236917364,67.654291295772,67.6418728955772,67.62954073915827
3,가천대학교,대학,사립,경기,A그룹,49.08372226078539,48.42152623357708,48.28809642720419,48.53164616429031,68.96326237721973,68.86055808403883,68.45961925059731,70.2650315328961,70.19401959554855,69.97655491320552,69.93207024588479
4,가톨릭관동대학교,대학,사립,강원,B그룹,51.58885553636176,53.33325408570952,51.64650779745493,51.1925704050846,66.97451387000797,67.76816742138355,67.36077781991924,67.41024733248626,67.47907754301072,67.31793997319616,67.2158687513553
5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,52.00219605203712,52.15900654335626,52.232916785555176,52.62554381591026,67.90845866860026,68.45377573701676,67.81200365014746,68.23947854415634,68.41999869929742,68.0452021464163,68.21196638840365
6,가톨릭대학교,대학,사립,경기,A그룹,48.891821677626844,48.08401123323519,48.7198443020796,48.446496403906835,66.8039487036704,69.06376672175573,69.88845562079081,73.05958047860283,73.24775230318389,73.21968405237894,72.95084807653777
7,가톨릭상지대학교,전문대학,사립,경북,C그룹,52.155059426320534,51.84585146626335,51.65613554658238,52.22007497516105,66.31299685424489,66.47433347961393,66.58055086178656,67.80705067625094,67.79039369310865,67.71466375112931,67.65975454128461
8,감리교신학대학교,대학,사립,서울,C그룹,51.652400568989385,51.61456888192028,51.76796640948391,51.56419529601306,65.36723600956073,65.47118405856753,65.60281533608234,66.86070277454331,66.92029030651013,66.61186450298642,65.81880595251107
9,강남대학교,대학,사립,경기,B그룹,51.96820621989215,52.48423168294473,52.235851837084866,52.464797959655506,67.25242930377019,67.60532349850365,68.09058408946328,67.93356760700509,68.13560619224297,67.9645514250656,67.85070075697176
10,강동대학교,전문대학,사립,충북,B그룹,52.79177118044793,52.79667967668855,52.7901463433552,52.698345485707726,67.52240646561901,67.76329959527465,68.19713846353343,68.16380443303694,68.06314614088497,67.3676299336672,67.38136013879542
11,강릉영동대학교,전문대학,사립,강원,B그룹,52.684870140376425,52.80598543682,52.80377202772908,52.65220250985868,67.38148250914664,67.44618248435353,67.90996262028797,67.64431325864639,68.14400622117877,68.15349955451212,68.08917843280686
12,강서대학교,대학,사립,서울,C그룹,52.46084980134419,52.748864816654624,52.84482998540746,52.90076889529697,67.6851555244983,67.97631472926545,67.88997563752054,68.07176605238172,68.00430881997578,68.0386537299942,67.92341025392356
13,강원관광대학교,전문대학,사립,강원,C그룹,52.71960420602013,52.43355907323959,52.44085946715528,52.33757119536639,66.98116654544383,67.75525392542207,68.0629898539836,67.48490373654995,68.64625162146424,68.69185557190207,68.2264592225106
14,강원대학교,대학,국립,강원,A그룹,47.005460645307345,47.259817055935656,48.957207559378205,46.771746808366515,67.38189164998222,69.22637891478884,70.7416935503242,72.10192423074983,72.03940254000761,71.96409883661508,71.65178442114494
15,강원도립대학교,전문대학,공립,강원,C그룹,52.39303379720815,52.46938122802434,52.68684672523022,52.68487103556605,67.44121902758333,67.69920235406643,67.968660966755,67.76493988032784,67.7644416374316,67.70440770802763,68.33547960942533
16,개신대학원대학교,대학원대학,사립,서울,-,52.715307075139805,52.62750431271887,52.73700615042062,52.58899215420782,67.57120026810153,68.02605609319514,68.16327380656098,67.80937592432794,68.12322852115861,67.75281248695178,68.07519770042671
17,거제대학교,전문대학,사립,경남,C그룹,52.32120507892036,52.42521426367411,52.766571978466466,52.333170498122776,67.80589110219687,68.09180887726504,67.81198569866142,67.8164099030723,68.34265414645728,67.73486060774303,67.8921115727487
18,건국대학교,대학,사립,서울,A그룹,45.836741281996446,45.62379520023488,45.664269019083626,47.254484814561465,67.8123732494039,69.44631081585004,70.07435446672335,70.9857161400415,71.14018462803949,70.9924512830538,71.53937726899477
19,건국대학교(글로컬),대학,사립,충북,B그룹,49.07940131000166,48.92986370328038,49.67818692688702,51.15081511587494,66.79278288831095,67.1389894090422,66.96573530211694,68.06201576599481,67.51152550620218,67.3880818065169,67.45276473901865
20,건동대학교,대학,사립,경북,C그룹,52.81886897456559,52.81724413747286,52.81724413747284,52.727060613158706,67.69327133796001,68.20353722251059,68.21867311139951,68.21867311139953,68.22079255584393,68.22079255584394,68.2264592225106
21,건신대학원대학교,대학원대학,사립,대전,-,52.62988789392082,52.572065673497484,52.465271621137596,52.47999726075854,67.2694263806557,67.76868935615488,67.56897464542534,68.32280280767019,67.85509798014995,67.77460774597769,67.88416397060871
22,건양대학교,대학,사립,충남,B그룹,48.50121349933056,48.05859120678207,48.37676938855857,49.38405355285172,66.33996223000241,65.75118878421327,66.32947025495342,67.06401571437337,66.93077018023439,66.51141086255743,67.05620098610261
23,경기과학기술대학교,전문대학,사립,경기,A그룹,52.77646867202459,52.52328724487516,52.28540579987812,51.321885498967035,67.02101576548878,67.15578931832833,66.78239250400854,67.12356448560344,67.51475425223987,67.1339365702047,66.71017084374287
24,경기대학교,대학,사립,경기,A그룹,47.46193626425764,47.761021483856844,48.77625971995767,50.41308242611224,67.59610157395184,67.73329399110916,67.46903563219752,67.8371913610688,67.96619783788005,67.60299417260215,67.82309342390444
25,경남대학교,대학,사립,경남,A그룹,50.45074906346401,51.04592973883968,51.02889691744699,51.18454152510329,66.63015564145199,67.13396784245094,67.30753865052141,67.71997646965725,67.49213067148973,67.4383023214144,67.60197420240117
26,경남도립거창대학,전문대학,공립,경남,C그룹,52.695247597023695,52.395396803802775,52.859399766884614,52.61852054300115,67.62149904128196,67.53092162608628,68.07426058107316,67.93381941129797,67.89045552193855,67.8817563985619,68.50898420128368
27,경남도립남해대학,전문대학,공립,경남,C그룹,51.625049578562695,51.84738334433568,51.702865829831936,51.935282045006296,67.29681087974643,67.65454914767139,67.68085690036318,67.30870610109157,68.3505893845967,67.48217226124821,67.8866814037705
28,경남정보대학교,전문대학,사립,부산,A그룹,52.670039451183186,52.42369229856154,52.625088716913545,52.585205680333885,66.65634206167418,66.87514543129268,66.8936670408206,67.04354760444143,67.02918098661482,67.04882615683674,67.08154292448738
